STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/15,33,15
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/16,36,14
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/17,34,15
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/18,42,23
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/19,45,21
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/20,36,18
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/21,34,19
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/22,35,24
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/23,35,20
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/24,35,12
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/25,30,20
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/26,28,9
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/27,26,12
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/28,30,8
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/29,25,9
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/30,30,6
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/31,30,14
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/1,29,18
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/2,26,12
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/3,22,8
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/4,31,7
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/5,34,10
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/6,41,16
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/7,39,13
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/8,45,16
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/9,37,26
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/10,35,22
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/11,46,24
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/12,36,19
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/13,35,18
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/14,29,21
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/15,32,14
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/16,33,17
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/17,31,18
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/18,31,19
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/19,29,14
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/20,33,14
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/21,29,13
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/22,28,12
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/23,32,22
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/24,28,17
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/25,24,14
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/26,30,10
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/27,35,8
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/28,37,12
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/29,32,14
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/30,36,14
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/1/31,38,19
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/1,42,22
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/2,41,27
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/3,36,15
